Cust No,Customer,Program,Status,Company Code,System Up Time,Running Time,Memory (KB),Create Date,Priority,Reference No
,,SW Data,System.Net.WebException: The remote serv,,,,,9/26/2023 1:52:17 PM,Low,
,,,System.IO.FileLoadException: Could not l,,,,,9/26/2023 1:46:14 PM,Low,
003670,"HARBOR MANUFACTURING, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:15s,16112,9/26/2023 1:40:59 PM,Medium,
003670,"HARBOR MANUFACTURING, INC.",GSSCOURIER,Running,,,10d:11h:17m:10s,25772,9/26/2023 1:41:01 PM,Medium,
003670,"HARBOR MANUFACTURING, INC.",ONLINE UPDATE,Running,HAR,,08d:04h:18m:19s,189780,9/26/2023 1:43:39 PM,High,
004890,BYERS PRECISION FABRICATORS,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:06s,16048,9/26/2023 1:39:47 PM,Medium,
004890,BYERS PRECISION FABRICATORS,ONLINE UPDATE,Running,BPF,,08d:00h:14m:52s,120012,9/26/2023 1:49:14 PM,High,
004890,BYERS PRECISION FABRICATORS,ZENENGNSVC,Running,,10d:11h:19m:37s,10d:11h:19m:04s,4194303.99902344,9/26/2023 1:39:45 PM,Low,
004895,C.E. SMITH,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:27s,16992,9/26/2023 1:30:59 PM,Medium,
004895,C.E. SMITH,GSSCOURIER,Running,,,03d:11h:08m:23s,28528,9/26/2023 1:31:01 PM,Medium,
004895,C.E. SMITH,NTDBSMGR64,Running,,03d:11h:10m:52s,03d:11h:10m:25s,4194303.99902344,9/26/2023 1:30:57 PM,Low,
004895,C.E. SMITH,ONLINE UPDATE,Running,CES,,03d:11h:26m:27s,95640,9/26/2023 1:49:03 PM,High,
004934,"CARTOPLASTIC, S.A.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:07m:58s,15048,9/26/2023 1:35:54 PM,Medium,
004934,"CARTOPLASTIC, S.A.",NTDBSMGR64,Running,,03d:11h:08m:29s,03d:11h:07m:55s,4194303.99902344,9/26/2023 1:35:53 PM,Low,
004934,"CARTOPLASTIC, S.A.",ONLINE UPDATE,Running,CSA,,03d:11h:10m:41s,88428,9/26/2023 1:41:44 PM,High,
005015,"CGI AUTOMATED MFG, LLC",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:27m:38s,17024,9/26/2023 1:47:41 PM,Medium,
005015,"CGI AUTOMATED MFG, LLC",GSSCOURIER,Running,,,10d:11h:25m:34s,35156,9/26/2023 1:47:43 PM,Medium,
005015,"CGI AUTOMATED MFG, LLC",ONLINE UPDATE,Running,ALM,,10d:11h:28m:14s,55800,9/26/2023 1:49:57 PM,High,
005015,"CGI AUTOMATED MFG, LLC",ONLINE UPDATE,Running,CGI,,10d:11h:27m:06s,82080,9/26/2023 1:50:01 PM,High,
005015,"CGI AUTOMATED MFG, LLC",ONLINE UPDATE,Running,PMF,,10d:11h:26m:45s,87356,9/26/2023 1:49:59 PM,High,
005015,"CGI AUTOMATED MFG, LLC",ZENENGNSVC,Running,,10d:11h:28m:09s,10d:11h:27m:36s,4194303.99902344,9/26/2023 1:47:39 PM,Low,
006115,FABCON,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:30s,15744,9/26/2023 1:32:19 PM,Medium,
006115,FABCON,GSSCOURIER,Running,,,03d:11h:08m:26s,28184,9/26/2023 1:32:21 PM,Medium,
006115,FABCON,NTDBSMGR64,Running,,03d:11h:11m:04s,03d:11h:10m:28s,4194303.99902344,9/26/2023 1:32:17 PM,Low,
006115,FABCON,ONLINE UPDATE,Running,FAB,,03d:11h:15m:33s,101560,9/26/2023 1:43:33 PM,High,
006115,FABCON,ONLINE UPDATE,Running,VAL,,00d:08h:36m:57s,109280,9/26/2023 1:43:31 PM,High,
006120,"FABCORP, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,09d:04h:24m:36s,19988,9/26/2023 12:53:33 PM,Medium,
006120,"FABCORP, INC.",GSSCOURIER,Running,,,09d:04h:22m:34s,29512,9/26/2023 12:53:35 PM,Medium,
006120,"FABCORP, INC.",NTDBSMGR64,Running,,09d:04h:25m:01s,09d:04h:24m:34s,4194303.99902344,9/26/2023 12:53:31 PM,Low,
006120,"FABCORP, INC.",ONLINE UPDATE,Running,HFA,,09d:05h:16m:07s,84376,9/26/2023 1:48:04 PM,High,
006120,"FABCORP, INC.",ONLINE UPDATE,Running,HII,,09d:05h:15m:37s,110056,9/26/2023 1:48:01 PM,High,
006120,"FABCORP, INC.",ONLINE UPDATE,Running,HOP,,09d:05h:14m:57s,99832,9/26/2023 1:48:06 PM,High,
006120,"FABCORP, INC.",ONLINE UPDATE,Running,HTS,,09d:05h:14m:30s,100716,9/26/2023 1:48:08 PM,High,
006120,"FABCORP, INC.",ONLINE UPDATE,Running,POT,,09d:05h:13m:43s,70524,9/26/2023 1:48:10 PM,High,
007080,"HALL INDUSTRIES, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,110d:05h:25m:21s,18868,9/26/2023 1:42:28 PM,Medium,
007080,"HALL INDUSTRIES, INC.",GSSCOURIER,Running,,,05d:04h:01m:15s,29272,9/26/2023 1:42:30 PM,Medium,
007080,"HALL INDUSTRIES, INC.",NTDBSMGR64,Running,,110d:05h:25m:49s,110d:05h:25m:18s,4194303.99902344,9/26/2023 1:42:25 PM,Low,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,AIR,,00d:00h:00m:00s,-0.0009765625,9/26/2023 1:48:32 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,HEQ,,105d:23h:17m:59s,106460,9/26/2023 1:48:34 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,HFP,,105d:23h:17m:21s,104980,9/26/2023 1:48:37 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,HII,,42d:00h:51m:30s,110704,9/26/2023 1:48:40 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,HPC,,110d:05h:27m:57s,75772,9/26/2023 1:48:43 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,JFK,,110d:05h:27m:12s,76372,9/26/2023 1:48:46 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,SHG,,110d:01h:24m:39s,104256,9/26/2023 1:48:48 PM,High,
007080,"HALL INDUSTRIES, INC.",ONLINE UPDATE,Running,STD,,110d:05h:25m:42s,100204,9/26/2023 1:48:51 PM,High,
007080,"HALL INDUSTRIES, INC.",SLICENSE,Running,,,110d:05h:25m:26s,5884,9/26/2023 1:42:33 PM,Low,
007160,"PROLEC-GE WAUKESHA, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:07m:43s,16200,9/26/2023 1:28:23 PM,Medium,
007160,"PROLEC-GE WAUKESHA, INC.",ONLINE UPDATE,Running,HVS,,03d:11h:18m:26s,87348,9/26/2023 1:45:30 PM,High,
007160,"PROLEC-GE WAUKESHA, INC.",ONLINE UPDATE,Running,SVC,,03d:11h:18m:01s,77464,9/26/2023 1:45:32 PM,High,
007160,"PROLEC-GE WAUKESHA, INC.",ZENENGNSVC,Running,,03d:11h:08m:07s,03d:11h:07m:41s,4194303.99902344,9/26/2023 1:28:21 PM,Low,
011050,"MARCHANT SCHMIDT, INC",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:27s,16352,9/26/2023 1:30:53 PM,Medium,
011050,"MARCHANT SCHMIDT, INC",GSSCOURIER,Running,,,03d:11h:08m:23s,29700,9/26/2023 1:30:55 PM,Medium,
011050,"MARCHANT SCHMIDT, INC",NTDBSMGR64,Running,,03d:11h:10m:56s,03d:11h:10m:25s,4194303.99902344,9/26/2023 1:30:51 PM,Low,
011050,"MARCHANT SCHMIDT, INC",ONLINE UPDATE,Running,FAB,,03d:11h:23m:21s,85956,9/26/2023 1:45:22 PM,High,
011050,"MARCHANT SCHMIDT, INC",ONLINE UPDATE,Running,VMS,,03d:11h:22m:55s,56808,9/26/2023 1:45:24 PM,High,
011930,"TRINITY PRECISION, INC",GSS.SYSTEMINTEGRITYSERVICE,Running,,,32d:05h:38m:28s,18472,9/26/2023 1:25:51 PM,Medium,
011930,"TRINITY PRECISION, INC",GSSCOURIER,Running,,,32d:05h:36m:28s,38584,9/26/2023 1:25:53 PM,Medium,
011930,"TRINITY PRECISION, INC",ONLINE UPDATE,Running,MCM,,32d:06h:03m:02s,111932,9/26/2023 1:51:31 PM,High,
011930,"TRINITY PRECISION, INC",ZENENGNSVC,Running,,32d:05h:38m:55s,32d:05h:38m:26s,4194303.99902344,9/26/2023 1:25:49 PM,Low,
012630,PLASTEX FABRICATORS-CHARLOTTE,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:10h:27m:32s,15352,9/26/2023 12:57:34 PM,Medium,
012630,PLASTEX FABRICATORS-CHARLOTTE,NTDBSMGR64,Running,,10d:10h:27m:59s,10d:10h:27m:29s,4194303.99902344,9/26/2023 12:57:32 PM,Low,
012630,PLASTEX FABRICATORS-CHARLOTTE,ONLINE UPDATE,Running,PGL,,10d:11h:19m:18s,76336,9/26/2023 1:51:39 PM,High,
012630,PLASTEX FABRICATORS-CHARLOTTE,WS_DBACCESS,Running,,,10d:10h:25m:14s,39728,9/26/2023 12:57:36 PM,High,
012890,"PRESS ROOM EQUIPMENT, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:27m:37s,15312,9/26/2023 1:47:43 PM,Medium,
012890,"PRESS ROOM EQUIPMENT, INC.",GSSCOURIER,Running,,,10d:11h:25m:33s,19004,9/26/2023 1:47:45 PM,Medium,
012890,"PRESS ROOM EQUIPMENT, INC.",ONLINE UPDATE,Running,PRE,,10d:11h:19m:37s,63800,9/26/2023 1:41:40 PM,High,
012890,"PRESS ROOM EQUIPMENT, INC.",ZENENGNSVC,Running,,10d:11h:28m:08s,10d:11h:27m:35s,4194303.99902344,9/26/2023 1:47:41 PM,Low,
012950,PIONEER BROACH COMPANY,GSSCOURIER,Running,,,61d:16h:29m:05s,29792,9/26/2023 1:31:31 PM,Medium,
012950,PIONEER BROACH COMPANY,ONLINE UPDATE,Running,PIO,,61d:16h:42m:02s,114708,9/26/2023 1:48:34 PM,High,
012950,PIONEER BROACH COMPANY,ZENENGNSVC,Running,,61d:16h:30m:38s,61d:16h:31m:08s,4194303.99902344,9/26/2023 1:31:29 PM,Low,
015980,TURNAMATIC MACHINE,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:10h:34m:21s,16424,9/26/2023 12:55:35 PM,Medium,
015980,TURNAMATIC MACHINE,GSSCOURIER,Running,,,08d:05h:52m:02s,22416,9/26/2023 12:55:37 PM,Medium,
015980,TURNAMATIC MACHINE,NTDBSMGR64,Running,,10d:10h:34m:51s,10d:10h:34m:19s,4194303.99902344,9/26/2023 12:55:33 PM,Low,
015980,TURNAMATIC MACHINE,ONLINE UPDATE,Running,TC1,,10d:11h:29m:05s,56440,9/26/2023 1:51:55 PM,High,
015980,TURNAMATIC MACHINE,ONLINE UPDATE,Running,TFP,,10d:11h:28m:29s,53436,9/26/2023 1:51:53 PM,High,
015980,TURNAMATIC MACHINE,ONLINE UPDATE,Running,TMM,,10d:11h:27m:42s,86100,9/26/2023 1:51:51 PM,High,
015980,TURNAMATIC MACHINE,SLICENSE,Running,,,10d:10h:34m:26s,5528,9/26/2023 12:55:39 PM,Low,
016355,"UNITED STATES ROLLER WORKS,INC",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:27m:28s,15464,9/26/2023 1:46:47 PM,Medium,
016355,"UNITED STATES ROLLER WORKS,INC",ONLINE UPDATE,Running,USR,,10d:11h:19m:49s,65316,9/26/2023 1:40:46 PM,High,
016355,"UNITED STATES ROLLER WORKS,INC",SLICENSE,Running,,,10d:11h:27m:29s,5276,9/26/2023 1:46:49 PM,Low,
016355,"UNITED STATES ROLLER WORKS,INC",ZENENGNSVC,Running,,10d:11h:27m:57s,10d:11h:27m:25s,4194303.99902344,9/26/2023 1:46:45 PM,Low,
040000,YOUNGER & SONS MFG.,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:13m:15s,15488,9/26/2023 1:35:31 PM,Medium,
040000,YOUNGER & SONS MFG.,GSSCOURIER,Running,,,03d:11h:11m:10s,26768,9/26/2023 1:35:33 PM,Medium,
040000,YOUNGER & SONS MFG.,NTDBSMGR64,Running,,03d:11h:13m:48s,03d:11h:13m:13s,4194303.99902344,9/26/2023 1:35:29 PM,Low,
040000,YOUNGER & SONS MFG.,ONLINE UPDATE,Running,YOU,,01d:22h:15m:27s,213016,9/26/2023 1:50:16 PM,High,
040000,YOUNGER & SONS MFG.,SLICENSE,Running,,,03d:11h:13m:19s,5268,9/26/2023 1:35:35 PM,Low,
217050,"IND TOOL, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:13m:21s,16116,9/26/2023 1:37:42 PM,Medium,
217050,"IND TOOL, INC.",GSSCOURIER,Running,,,03d:11h:11m:11s,29076,9/26/2023 1:37:44 PM,Medium,
217050,"IND TOOL, INC.",ONLINE UPDATE,Running,ITI,,01d:07h:53m:54s,122828,9/26/2023 1:52:11 PM,High,
217050,"IND TOOL, INC.",SLICENSE,Running,,,03d:11h:13m:25s,4360,9/26/2023 1:37:46 PM,Low,
217050,"IND TOOL, INC.",ZENENGNSVC,Running,,03d:11h:13m:57s,03d:11h:13m:19s,4194303.99902344,9/26/2023 1:37:40 PM,Low,
AAA010,VELOCITY METAL WORKS,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:33s,15648,9/26/2023 1:35:15 PM,Medium,
AAA010,VELOCITY METAL WORKS,GSSCOURIER,Running,,,03d:11h:08m:27s,27196,9/26/2023 1:35:17 PM,Medium,
AAA010,VELOCITY METAL WORKS,ONLINE UPDATE,Running,VMW,,03d:11h:11m:34s,82688,9/26/2023 1:38:17 PM,High,
AAA010,VELOCITY METAL WORKS,ZENENGNSVC,Running,,03d:11h:11m:04s,03d:11h:10m:31s,4194303.99902344,9/26/2023 1:35:13 PM,Low,
ABI010,ABILITY FABRICATORS INC.,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:17s,16108,9/26/2023 1:42:03 PM,Medium,
ABI010,ABILITY FABRICATORS INC.,NTDBSMGR64,Running,,10d:11h:19m:50s,10d:11h:19m:15s,4194303.99902344,9/26/2023 1:42:01 PM,Low,
ABI010,ABILITY FABRICATORS INC.,ONLINE UPDATE,Running,AFI,,10d:11h:20m:03s,84936,9/26/2023 1:44:34 PM,High,
ABR010,ABRASIVE WEST,GSS.SYSTEMINTEGRITYSERVICE,Running,,,20d:00h:09m:47s,17512,9/26/2023 1:33:39 PM,Medium,
ABR010,ABRASIVE WEST,ONLINE UPDATE,Running,ABW,,13d:05h:11m:16s,202656,9/26/2023 1:39:47 PM,High,
ABR010,ABRASIVE WEST,ZENENGNSVC,Running,,108d:21h:06m:59s,97d:06h:16m:26s,4194303.99902344,9/26/2023 1:33:37 PM,Low,
ACC780,ACCESS LASER,ONLINE UPDATE,Running,ACC,,03d:11h:27m:00s,87476,9/26/2023 1:49:46 PM,High,
ACC780,ACCESS LASER,ZENENGNSVC,Running,,03d:11h:05m:24s,03d:11h:04m:57s,4194303.99902344,9/26/2023 1:26:06 PM,Low,
ACR010,ACRYLIC SOURCE,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:27m:17s,16080,9/26/2023 1:45:11 PM,Medium,
ACR010,ACRYLIC SOURCE,GSSCOURIER,Running,,,10d:11h:25m:17s,21452,9/26/2023 1:45:13 PM,Medium,
ACR010,ACRYLIC SOURCE,NTDBSMGR64,Running,,10d:11h:27m:44s,10d:11h:27m:15s,4194303.99902344,9/26/2023 1:45:09 PM,Low,
ACR010,ACRYLIC SOURCE,ONLINE UPDATE,Running,ACS,,10d:11h:18m:47s,86868,9/26/2023 1:39:02 PM,High,
ADV400,"ADVENT TOOL & MFG., INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:08m:26s,15484,9/26/2023 1:32:39 PM,Medium,
ADV400,"ADVENT TOOL & MFG., INC.",GSSCOURIER,Running,,,03d:11h:08m:28s,29700,9/26/2023 1:32:41 PM,Medium,
ADV400,"ADVENT TOOL & MFG., INC.",ONLINE UPDATE,Running,ATM,,03d:11h:26m:00s,97332,9/26/2023 1:50:46 PM,High,
ADV400,"ADVENT TOOL & MFG., INC.",ZENENGNSVC,Running,,03d:11h:11m:02s,03d:11h:10m:30s,4194303.99902344,9/26/2023 1:32:37 PM,Low,
ADV700,"ADVANCED PLASTIFORM, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,00d:22h:04m:58s,18748,9/26/2023 1:49:56 PM,Medium,
ADV700,"ADVANCED PLASTIFORM, INC.",GSSCOURIER,Running,,,00d:22h:02m:56s,27812,9/26/2023 1:49:58 PM,Medium,
ADV700,"ADVANCED PLASTIFORM, INC.",NTDBSMGR64,Running,,00d:22h:05m:22s,00d:22h:04m:56s,4194303.99902344,9/26/2023 1:49:54 PM,Low,
ADV700,"ADVANCED PLASTIFORM, INC.",ONLINE UPDATE,Running,API,,00d:22h:03m:07s,126228,9/26/2023 1:50:03 PM,High,
ADV700,"ADVANCED PLASTIFORM, INC.",SLICENSE,Running,,,00d:22h:05m:02s,4124,9/26/2023 1:50:00 PM,Low,
ADV780,ADVANCED ENERGY IDEAS (AEI),GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:27m:40s,14844,9/26/2023 1:48:38 PM,Medium,
ADV780,ADVANCED ENERGY IDEAS (AEI),GSSCOURIER,Running,,,10d:11h:25m:17s,17692,9/26/2023 1:48:39 PM,Medium,
ADV780,ADVANCED ENERGY IDEAS (AEI),NTDBSMGR64,Running,,10d:11h:28m:08s,10d:11h:27m:38s,4194303.99902344,9/26/2023 1:48:38 PM,Low,
ADV780,ADVANCED ENERGY IDEAS (AEI),ONLINE UPDATE,Running,AEI,,10d:11h:18m:39s,61756,9/26/2023 1:42:34 PM,High,
ADV790,ADVANCED TURBINE COMPONENT MANUFACTURING,ONLINE UPDATE,Running,ADV,,03d:11h:26m:58s,78840,9/26/2023 1:50:36 PM,High,
ADV790,ADVANCED TURBINE COMPONENT MANUFACTURING,SLICENSE,Running,,,03d:11h:07m:50s,4148,9/26/2023 1:29:46 PM,Low,
ADV790,ADVANCED TURBINE COMPONENT MANUFACTURING,ZENENGNSVC,Running,,03d:11h:08m:20s,03d:11h:07m:48s,4194303.99902344,9/26/2023 1:29:44 PM,Low,
ADV810,ADVANCED VOLUMETRIC ALLIANCE,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:58s,15500,9/26/2023 1:47:11 PM,Medium,
ADV810,ADVANCED VOLUMETRIC ALLIANCE,ONLINE UPDATE,Running,AVA,,09d:06h:47m:06s,75276,9/26/2023 1:46:28 PM,High,
ADV810,ADVANCED VOLUMETRIC ALLIANCE,ZENENGNSVC,Running,,10d:11h:20m:31s,10d:11h:19m:56s,4194303.99902344,9/26/2023 1:47:08 PM,Low,
ADV830,"ADVANCED COMPOSITE PRODUCTS & TECHNOLOGY, INC.",GSSCOURIER,Running,,,10d:11h:17m:22s,21716,9/26/2023 1:39:19 PM,Medium,
ADV830,"ADVANCED COMPOSITE PRODUCTS & TECHNOLOGY, INC.",ONLINE UPDATE,Running,AAR,,05d:01h:34m:22s,207136,9/26/2023 1:47:12 PM,High,
ADV830,"ADVANCED COMPOSITE PRODUCTS & TECHNOLOGY, INC.",ONLINE UPDATE,Running,ACP,,05d:01h:33m:37s,178456,9/26/2023 1:47:09 PM,High,
ADV830,"ADVANCED COMPOSITE PRODUCTS & TECHNOLOGY, INC.",ZENENGNSVC,Running,,10d:11h:19m:56s,10d:11h:19m:25s,4194303.99902344,9/26/2023 1:39:17 PM,Low,
AEC010,"J.W. WILLIAMS, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:10m:43s,16096,9/26/2023 1:31:43 PM,Medium,
AEC010,"J.W. WILLIAMS, INC.",GSSCOURIER,Running,,,03d:11h:08m:28s,26568,9/26/2023 1:31:45 PM,Medium,
AEC010,"J.W. WILLIAMS, INC.",ONLINE UPDATE,Running,ATC,,03d:11h:25m:25s,86472,9/26/2023 1:49:47 PM,High,
AEC010,"J.W. WILLIAMS, INC.",ZENENGNSVC,Running,,03d:11h:11m:14s,03d:11h:10m:41s,4194303.99902344,9/26/2023 1:31:41 PM,Low,
AIR100,AIRPRO FAN & BLOWER COMPANY,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:18h:11m:11s,18180,9/26/2023 1:27:56 PM,Medium,
AIR100,AIRPRO FAN & BLOWER COMPANY,GSSCOURIER,Running,,,03d:18h:09m:10s,28424,9/26/2023 1:27:58 PM,Medium,
AIR100,AIRPRO FAN & BLOWER COMPANY,ONLINE UPDATE,Running,APF,,03d:18h:28m:03s,105316,9/26/2023 1:46:17 PM,High,
AIR100,AIRPRO FAN & BLOWER COMPANY,ZENENGNSVC,Running,,03d:18h:11m:36s,03d:18h:11m:08s,4194303.99902344,9/26/2023 1:27:54 PM,Low,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,NTDBSMGR64,Running,,03d:11h:08m:14s,03d:11h:07m:42s,4194303.99902344,9/26/2023 1:30:06 PM,Low,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,MCT,,03d:11h:18m:11s,86252,9/26/2023 1:42:13 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,MEV,,03d:11h:17m:29s,76000,9/26/2023 1:41:57 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,MFD,,03d:11h:16m:49s,65564,9/26/2023 1:42:03 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,MTH,,03d:11h:16m:10s,64176,9/26/2023 1:42:05 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,SPK,,03d:11h:15m:30s,88660,9/26/2023 1:42:09 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,STC,,03d:11h:14m:41s,72416,9/26/2023 1:42:11 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,SWM,,03d:11h:13m:38s,65584,9/26/2023 1:41:53 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,ZFD,,03d:11h:13m:10s,64920,9/26/2023 1:42:07 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,ZMT,,03d:11h:12m:17s,64028,9/26/2023 1:41:59 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,ZPK,,03d:11h:11m:16s,65544,9/26/2023 1:41:55 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,ONLINE UPDATE,Running,ZSW,,03d:11h:10m:39s,65552,9/26/2023 1:42:01 PM,High,
ALA130,ALABAMA CORRECTIONAL INDUSTRIES,SLICENSE,Running,,,03d:11h:07m:44s,4228,9/26/2023 1:30:08 PM,Low,
ALA140,"ALABAMA HEAT EXCHANGERS, INC.",GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:10h:28m:43s,15264,9/26/2023 12:57:31 PM,Medium,
ALA140,"ALABAMA HEAT EXCHANGERS, INC.",GSSCOURIER,Running,,,10d:10h:26m:33s,27100,9/26/2023 12:57:33 PM,Medium,
ALA140,"ALABAMA HEAT EXCHANGERS, INC.",NTDBSMGR64,Running,,10d:10h:29m:16s,10d:10h:28m:39s,3978884,9/26/2023 12:57:29 PM,Low,
ALA140,"ALABAMA HEAT EXCHANGERS, INC.",ONLINE UPDATE,NotRunning,AHE,,00d:00h:00m:00s,-0.0009765625,9/26/2023 1:52:18 PM,High,
ALB020,"ACS FAB, LLC",GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:07m:41s,15032,9/26/2023 1:27:05 PM,Medium,
ALB020,"ACS FAB, LLC",ONLINE UPDATE,Running,AMC,,03d:11h:26m:45s,53000,9/26/2023 1:47:53 PM,High,
ALB020,"ACS FAB, LLC",ZENENGNSVC,Running,,03d:11h:08m:12s,03d:11h:07m:39s,4194303.99902344,9/26/2023 1:27:03 PM,Low,
ALC040,ALCO MANUFACTURING CORPORATION,GSS.SYSTEMINTEGRITYSERVICE,Running,,,02d:20h:09m:22s,18348,9/26/2023 1:14:11 PM,Medium,
ALC040,ALCO MANUFACTURING CORPORATION,NTDBSMGR64,Running,,02d:20h:09m:48s,02d:20h:09m:20s,4194303.99902344,9/26/2023 1:14:08 PM,Low,
ALC040,ALCO MANUFACTURING CORPORATION,ONLINE UPDATE,Running,ALC,,02d:20h:34m:11s,87944,9/26/2023 1:41:08 PM,High,
ALC040,ALCO MANUFACTURING CORPORATION,ONLINE UPDATE,Running,ELE,,02d:20h:33m:53s,66320,9/26/2023 1:41:06 PM,High,
ALC040,ALCO MANUFACTURING CORPORATION,SLICENSE,Running,,,02d:20h:09m:24s,4136,9/26/2023 1:14:13 PM,Low,
ALF010,ALFONSO MARINA Y COMPANIA,GSS.SYSTEMINTEGRITYSERVICE,Running,,,03d:11h:07m:49s,16220,9/26/2023 1:32:48 PM,Medium,
ALF010,ALFONSO MARINA Y COMPANIA,NTDBSMGR64,Running,,03d:11h:08m:24s,03d:11h:07m:46s,4194303.99902344,9/26/2023 1:32:46 PM,Low,
ALF010,ALFONSO MARINA Y COMPANIA,ONLINE UPDATE,Running,ALM,,03d:11h:11m:21s,75004,9/26/2023 1:38:39 PM,High,
ALL100,ALL METALS FABRICATION,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:21s,15984,9/26/2023 1:42:11 PM,Medium,
ALL100,ALL METALS FABRICATION,ONLINE UPDATE,Running,AMF,,10d:11h:20m:45s,79636,9/26/2023 1:44:56 PM,High,
ALL100,ALL METALS FABRICATION,ZENENGNSVC,Running,,10d:11h:19m:51s,10d:11h:19m:19s,4194303.99902344,9/26/2023 1:42:09 PM,Low,
ALL170,MUM INDUSTRIES,GSS.SYSTEMINTEGRITYSERVICE,Running,,,45d:11h:11m:45s,16864,9/26/2023 1:34:17 PM,Medium,
ALL170,MUM INDUSTRIES,GSSCOURIER,Running,,,45d:11h:09m:33s,130944,9/26/2023 1:34:19 PM,Medium,
ALL170,MUM INDUSTRIES,ONLINE UPDATE,Running,EMF,,13d:04h:45m:35s,193376,9/26/2023 1:39:01 PM,High,
ALL170,MUM INDUSTRIES,ONLINE UPDATE,Running,MAD,,18d:23h:32m:48s,202384,9/26/2023 1:38:56 PM,High,
ALL170,MUM INDUSTRIES,ONLINE UPDATE,Running,STX,,18d:22h:45m:50s,198144,9/26/2023 1:38:59 PM,High,
ALL170,MUM INDUSTRIES,SLICENSE,Running,,,45d:11h:11m:49s,6288,9/26/2023 1:34:22 PM,Low,
ALL170,MUM INDUSTRIES,ZENENGNSVC,Running,,45d:11h:12m:41s,45d:11h:11m:42s,4194303.99902344,9/26/2023 1:34:15 PM,Low,
ALL190,ALL FAB PRECISION SHEETMETAL-CA,GSS.SYSTEMINTEGRITYSERVICE,Running,,,10d:11h:19m:09s,17084,9/26/2023 1:40:29 PM,Medium,
ALL190,ALL FAB PRECISION SHEETMETAL-CA,ONLINE UPDATE,Running,FAB,,10d:11h:19m:58s,102800,9/26/2023 1:42:58 PM,High,
